"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.760314940102","108.637771255127","107.592262232032","106.557104417351","107.201397148798","103.757740699849","102.138618253486","100.424781871317","98.0549965042495","95.4170684905922","92.6523146243564","89.4440540226253","86.2474142982921","82.8843444112113","79.5754012052334","76.4301115402491","73.5382811962143","70.7145472513952","67.906905440552","65.5143489081058","63.2460098875316","61.0391091984899","59.0602363633148","57.2487173222799","55.5843734054235","54.0339800688816","52.5889466032041","51.1128064734472","49.6724553586726","48.3699502226205","47.2144966540325","46.0855031329605","45.0088325642719","",
"Afghanistan","AFG","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","242.5","238.3","234.2","230.3","226.5","222.7","219","215.2","211.4","207.7","203.9","199.9","196","192.1","188","183.9","179.8","175.6","171.3","166.9","162.6","158.2","153.8","149.5","145.3","140.9","136.6","132.4","128.2","124.2","120.6","117.3","114.1","111","108.3","105.5","102.8","100","97.2","94.4","91.3","88.4","85.5","82.4","79.5","76.6","73.8","71.1","68.4","66","63.8","61.8","59.9","58.1","56.5","55","53.6","52.2","50.8","49.4","48.1","",
"Africa Western and Central","AFW","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122.616477285197","121.692006101953","120.851610552313","119.956592511375","118.96176960748","117.715700752268","116.112525287392","114.144078875945","112.087104622738","109.584885037418","106.87529224401","104.18044086861","101.469245546428","98.7470444576167","96.0153680023462","93.2697437757365","90.7359612957572","88.2266483477119","85.9605514831052","83.9161138265256","82.0159804197412","80.3325040305579","78.8024670667028","77.3538528428904","76.1407007312454","74.8158784287641","73.5370506916673","72.284569164464","70.8696951300958","69.3701713693129","67.8185568937607","66.2476616758614","64.641713658989","",
"Angola","AGO","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","151.2","149.6","147.8","146.2","145","143.9","143","142.4","141.9","141.7","141.3","141.2","140.9","140.9","140.8","140.3","139.2","137.7","135.6","133.1","130.3","126.8","122.8","118.5","113.8","108.8","103.6","98.2","92.9","87.7","82.8","78","73.6","69.8","66.5","63.6","61.1","59","57","55.2","53.5","52","50.7","",
"Albania","ALB","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","85.1","79.2","73.5","68.5","63.7","59.5","55.7","52.2","49.1","46.3","43.9","41.8","40.1","38.5","37.2","35.9","34.8","33.6","32.5","31.3","30.1","28.8","27.6","26.3","24.9","23.6","22.1","20.7","19.1","17.6","16.1","14.7","13.3","12.1","11.1","10.3","9.8","9.4","9.2","9.1","9.1","9.2","9.2","9.2","9.2","",
"Andorra","AND","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","11.4","11.2","10.9","10.7","10.3","10.1","9.8","9.5","9.2","8.9","8.6","8.3","8","7.7","7.4","7.1","6.8","6.5","6.3","6","5.7","5.5","5.2","5","4.8","4.6","4.3","4.1","3.9","3.8","3.6","3.5","3.3","3.2","3.1","3","2.9","",
"Arab World","ARB","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5992875097836","60.9321900628361","59.0068407340338","57.3448665485152","55.8917854447822","54.5118457490129","53.0009960919196","51.5605125877709","50.0572460675303","48.6338772836674","47.1768490001588","45.6816002171085","44.26872582869","42.8798211817942","41.5957722973866","40.3435104351847","39.1403762876488","37.7826036936305","36.5464390595355","35.4094906602394","34.2209728580177","33.2737308677444","32.678521023734","31.8971928266326","31.0794891043044","30.4610911098744","29.8272630589289","29.2463726444462","28.7330518195532","28.0198730412933","27.2620257767519","26.8072719984647","26.1581383917431","",
"United Arab Emirates","ARE","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","43.8","39.5","35.6","32","28.8","26.1","23.7","21.6","19.8","18.3","17","15.8","14.8","13.9","13.1","12.4","11.8","11.3","10.9","10.5","10.2","10","9.7","9.5","9.4","9.2","9","8.9","8.7","8.6","8.4","8.2","8.1","7.9","7.8","7.6","7.4","7.2","7","6.7","6.5","6.2","5.8","5.5","5.2","4.9","4.7","",
"Argentina","ARG","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","63.1","62.5","62","61.2","60.2","58.7","56.7","54","50.9","47.3","44","40.7","37.8","35.3","33.3","31.1","29.8","28.9","28.5","28.5","28.4","28.2","27.7","26.9","26","25","23.8","22.8","21.6","20.6","19.7","19.1","18.5","17.9","17.4","16.9","16.5","16","15.6","15.2","14.8","14.2","13.6","13","12.4","11.9","11.4","11","10.6","10.3","10","9.7","9.4","9.1","",
"Armenia","ARM","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","76.4","73.7","71.1","68.5","66.1","63.7","61.5","59.4","57.3","55.4","53.4","51.6","68","47.9","46","44.2","42.5","40.7","39","37.3","35.6","34","32.5","31.1","29.7","28.4","27.1","25.8","24.6","23.4","22.3","21.2","20.2","19.2","18.3","17.4","16.6","15.7","15","14.2","13.5","12.9","12.2","11.7","11.1","10.6","10","",
"American Samoa","ASM","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality rate, infant, male (per 1,000 live births)","SP.DYN.IMRT.MA.IN","64.8","61.1","56.9","52.5","48","43.5","39.2","35.3","31.9","28.9","26.4","24.3","22.6","21.1","19.8","18.7","17.6","16.5","15.4","14.3","13.4","12.6","12","11.5","11.2","11","10.9","11","11.1","11.4","11.7","12.1","12.5","12.9","13.2","13.5","13.7","13.8","13.7","13.6","13.3","13.1","12.8","12.5","12.2","12","11.7","11.5","11.2","11","10.8","10.7","10.5","10.3","10.2","10","9.9","9.7","9.6","9.4","9.2","9","8.8","",
